name,chara,handle
Haruka Yamazaki,Mirai Kasuga,@yamazaki_haruka
Azusa Tadokoro,Shizuka Mogami,@azusatadokoro
Machiko Saitou,Tsubasa Ibuki,@Machico_staff
Risa Taneda,Kotoha Tanaka,<none>
Asuka Kakumoto,Elena Shimabara,<none>
Eri Oozeki,Minako Satake,@zekieri818
Yukiyo Fuji,Megumi Tokoro,@yukiyofuji0508
Ayaka Suwa,Matsuri Tokugawa,@Suwa_Ayaka
Momo Asakura,Serika Hakozaki,<none>
Saki Ogasawara,Akane Nonohara,@sachi_oga
Shiina Natsukawa,Anna Mochizuki,<none>
Atsuki Nakamura,Roco Handa,@733015nayg
Miku Itou,Yuriko Nanao,@InfoItoMiku
Yuri Komagata,Sayoko Takayama,@KomagataYuri
Rie Murakawa,Arisa Matsuda,@RiEmagic
Reina Ueda,Umi Kousaka,@ReinaUeda_Staff
Akari Harashima,Iku Nakatani,@0309akari
Kotori Koiwai,Tomoka Tenkubashi,@koiwai_kotori
Yuu Kahara,Emily Stewart,@yk_yu002
Sora Amamiya,Shiho Kitazawa ,<none>
Megumi Toda,Ayumu Maihama,@todamegumi
Nao Tamura,Hinata Kinoshita,@tamunao10
Ibuki Kido,Kana Yabuki,@ibuking_1114
Yui Watanabe,Nao Yokoyama,@yuichupunch
Kanako Nomura,Chizuru Nikaido,@kanako_nomura
Minami Takahashi,Konomi Baba,@miiiiiina_cat
Eri Inagawa,Tamaki Oogami,@greentea_senbei
Rie Suegawa,Fuka Toyokawa,@suzygara
Choucho Kiritani,Miya Miyao,@choucho0115
Nana Hamasaki,Noriko Fukuda,@7NanaHamasaki
Rika Abe,Mizuki Makabe,<none>
Yui Kondou,Karen Shinomiya,@yun_yk28
Rikako Yamaguchi,Rio Momose,@YamaguchiRikako
Yuka Saitou,Subaru Nagayoshi,@yuka_s1113
Emi Hirayama,Reika Takahashi,@hirayama8emi
Keiko Watanabe,Momoko Suou,<none>
Aimi Terakawa,Julia,@aimi_sound
Minami Saki,Tsumugi Shirashi,@minami_3ki
Arisa Kouri,Kaori Sakuramori,@arisa_kori
